source_file,cylinders,bore_mm,stroke_mm,displacement_l,displacement_cyl_l,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg
10s/apperson_332_v8.mr,8,82.55,127,5.4377,0.6797,4.5,292.1,2.3,39.6875,9.525,39.6875,9.525,210,245,116.25,-3.75
10s/aster_63_i1.mr,1,105,120,1.0391,1.0391,4.5,258,2.15,50,10,50,10,220,220,110,0
10s/bradley_294_i4.mr,4,104.775,139.7,4.8179,1.2045,4.828,304.8,2.1818,42.39,10.6,42.39,10.6,172,210,97,-2
10s/brouhot_119_i4.mr,4,75,110,1.9439,0.486,3.75,275,2.5,40,8,40,8,205,225,117.5,-5
10s/buda_h_312_i4.mr,4,107.95,139.7,5.1144,1.2786,4,311.15,2.2273,47.625,9.525,47.625,9.525,220,240,115,0
10s/buda_i_276_i4.mr,4,101.6,139.7,4.5304,1.1326,4,311.15,2.2273,47.625,9.525,47.625,9.525,220,240,115,0
10s/buda_ls_303_i6.mr,6,88.9,133.35,4.9664,0.8277,4.25,285.75,2.1429,38.1,9.525,38.1,9.525,220,240,115,0
10s/buda_o_294_i4.mr,4,104.775,139.7,4.8179,1.2045,3.827,301.625,2.1591,47.625,7.9375,47.625,9.525,220,240,115,0
10s/buda_q_243_i4.mr,4,95.25,139.7,3.9818,0.9954,4.007,301.625,2.1591,47.625,7.9375,47.625,9.525,220,240,115,0
10s/buda_r_197_i4.mr,4,88.9,130.175,3.2321,0.808,4.266,285.75,2.1951,38.1,9.525,38.1,9.525,220,240,115,0
10s/buda_ss_364_i6.mr,6,95.25,139.7,5.9727,0.9954,4.25,311.15,2.2273,42.8625,9.525,42.8625,9.525,220,240,115,0
10s/buda_t_312_i4.mr,4,107.95,139.7,5.1144,1.2786,4.185,301.625,2.1591,47.625,9.525,47.625,9.525,220,240,115,0
10s/buda_w_226_i4.mr,4,95.25,130.175,3.7103,0.9276,4.253,285.75,2.1951,38.1,9.525,38.1,9.525,220,240,115,0
10s/buda_y_382_i4.mr,4,114.3,152.4,6.255,1.5637,4,336.55,2.2083,53.975,9.525,53.975,9.525,220,240,115,0
10s/buick_166_i4.mr,4,95.25,95.25,2.7148,0.6787,4,177.8,1.8667,31.75,6.35,31.75,6.35,199.5,249.5,113.75,-2.18
10s/buick_221_i4.mr,4,95.25,127,3.6198,0.9049,4,254,2,38.1,7.1437,38.1,7.1437,202.3,248.3,113.97,-1.28
10s/buick_331_i6.mr,6,95.25,127,5.4297,0.9049,4,254,2,38.1,7.1437,38.1,7.1437,202.3,248.3,113.97,-1.28
10s/buick_384_v12.mr,12,76.454,114.3,6.2968,0.5247,4.5,228.6,2,34.925,7.1437,34.925,7.1437,202.3,248.3,113.97,-1.28
10s/buick_498_v12.mr,12,76.2,149.225,8.1662,0.6805,4.5,317.5,2.1277,34.925,7.1437,34.925,7.1437,202.3,248.3,113.97,-1.28
10s/cadillac_314_v8.mr,8,79.375,130.175,5.1532,0.6441,4.8,317.5,2.439,39.6875,7.1437,39.6875,7.1437,226.7,226.7,113.34,0
10s/chadwick_707_i6.mr,6,127,152.4,11.5833,1.9306,4,304.8,2,76.2,11.1125,53.975,11.1125,247,255,134.5,-7
10s/chalmers_415_i6.mr,6,101.6,139.7,6.7956,1.1326,4.5,311.15,2.2273,53.975,11.1125,53.975,11.1125,201,247,112,-0.5
10s/charron_302_i4.mr,4,110,130,4.9417,1.2354,4,295.75,2.275,50,10,50,10,179,224,101.25,10.75
10s/christie_v4_1237.mr,4,190.5,177.8,20.2708,5.0677,4,774.7,4.3571,76.2,15.875,76.2,15.875,205,230,111.25,-1.25
10s/continental_281_i4.mr,4,104.775,133.35,4.5989,1.1497,4,266.7,2,57.15,8.7312,57.15,8.7312,212.7,237.3,112.5,-5.35
10s/continental_350_i4.mr,4,114.3,139.7,5.7337,1.4334,4,279.4,2,57.15,9.525,57.15,9.525,196.9,237.2,110.62,-3.53
10s/continental_421_i6.mr,6,104.775,133.35,6.8984,1.1497,4,279.4,2.0952,50.8,8.7312,50.8,8.7312,198,222.5,108.88,-0.12
10s/continental_4n_192_i4.mr,4,88.9,127,3.1532,0.7883,4.412,260.35,2.05,44.0531,7.1437,44.0531,8.7312,191.5,230.9,110.39,-3.26
10s/continental_6n_289_i6.mr,6,88.9,127,4.7299,0.7883,4.412,260.35,2.05,44.0531,7.1437,44.0531,8.7312,198,222.5,108.88,-0.12
10s/continental_6p_348_i6.mr,6,95.25,133.35,5.7012,0.9502,4,263.525,1.9762,42.8625,8.7312,42.8625,8.7312,198,222.5,108.88,-0.12
10s/continental_7n_303_i6.mr,6,88.9,133.35,4.9664,0.8277,4.217,260.35,1.9524,42.8625,8.6102,42.8625,8.6102,198,234,106,-3
10s/continental_7w_224_i6.mr,6,82.55,114.3,3.6705,0.6117,4.456,215.9,1.8889,39.6875,7.1437,39.6875,7.1437,213,247,115,-3.5
10s/cottin_230_i4.mr,4,100,120,3.7699,0.9425,4,249,2.075,47,11,47,11,195,234,110.75,-1.75
10s/csb_302_i4.mr,4,110,130,4.9417,1.2354,4,300,2.3077,50,10,50,10,180,242,112.5,2.5
10s/cunningham_408_i4.mr,4,120.65,146.05,6.6789,1.6697,4,319.0875,2.1848,47.625,7.9375,47.625,9.525,180,225,106.25,1.25
10s/davis_226_v8.mr,8,76.2,101.6,3.7067,0.4633,4.23,203.2,2,33.3375,5.5563,33.3375,5.5563,200,230,110,0
10s/de_dion_244_v8.mr,8,70,130,4.0024,0.5003,4,265,2.0385,33.5,6,33.5,6,205,225,110,-2.5
10s/de_dion_84_i4.mr,4,66,100,1.3685,0.3421,3.75,235,2.35,33,7,33,7,225,225,112.5,0
10s/deltal_302_i4.mr,4,101.6,152.4,4.9422,1.2356,4.25,368.3,2.4167,69.85,12.7,69.85,12.7,218,256,119.5,0.5
10s/dorris_377_i6.mr,6,101.6,127,6.1778,1.0296,4,304.8,2.4,44.45,8.7312,44.45,8.7312,215,235,112.5,-5
10s/empire_212_i6.mr,6,76.2,127,3.475,0.5792,4,228.6,1.8,41.275,7.9375,41.275,7.9375,199.5,230,109.12,-6.12
10s/enger_227_v12.mr,12,66.675,88.9,3.7248,0.3104,4,190.5,2.1429,33.3375,7.9375,33.3375,7.9375,220,230,107.5,-2.5
