year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1940,Bedford Twin-Six (Churchill tank) 350 @ 2200,12,127,139.7,21236.1104,5.5,254,1.8182,63.5,12.7,63.5,12.7,230,223,105.75,0.75,40s/bedford_1296_f12.mr
1940,Lincoln Zephyr 1940 120 @ 3600,12,73.025,95.25,4787.1743,7.2,187.96,1.9733,39.0398,7.4168,39.0398,7.4168,226,239,107,4.42,40s/lincoln_292_v12.mr
1940,Packard 356 160 HP @ 3600,8,88.9,117.475,5833.4952,7,234.95,2,42.4656,8.6868,36.5125,8.6868,235,239,111.5,-2,40s/packard_356_i8.mr
1940,КИМ-10 1940 26 @ 4000,4,63.5,92.5,1171.761,5.75,163,1.7622,29.33,7.11,26.8,7.11,244,244,110,0,40s/kim_10_72_i4.mr
1941,Ford 226 Six 90 @ 3300,6,83.82,111.76,3700.1799,6.7,222.25,1.9886,41.148,8.89,37.694,8.89,232,238,107,2,40s/ford_226_i6.mr
1941,Graham Hollywood 113 93 @ 3800,6,82.55,111.125,3568.5112,6.65,177.8,1.6,38.4969,7.9375,33.7344,7.9375,232,232,111.5,0,40s/graham_218_i6.mr
1942,Buick Century 8 165 @ 3800,8,87.3125,109.5375,5246.8124,6.7,209.55,1.913,45.2437,8.8138,36.5125,8.8392,265,261,112,-6.5,40s/buick_320_i8.mr
1942,Buick Super 8 118 @ 3600,8,78.5812,104.775,4065.139,6.3,193.675,1.8485,38.8937,8.8392,34.1313,8.6868,261,257,112,-5.5,40s/buick_248_i8.mr
1942,Lincoln Zephyr 1942 130 @ 3800,12,74.6125,95.25,4997.5747,7.1,187.96,1.9733,39.0398,7.4168,39.0398,7.4168,226,239,107,4.42,40s/lincoln_305_v12.mr
1945,ЗИС-110 (1940 Packard Custom Super 8-1808) 140 @ 3600,8,90,118,6005.4685,6.85,235,1.9915,42.5,8.675,35.5,8.675,317.6,318.1,111.27,-19.27,40s/zis_110_367_i8.mr
1946,ГАЗ М-20 1946 50 @ 3600,4,82,100,2112.4069,6.2,202,2.02,38,9.2,36,9.2,240,240,109,-2,40s/gaz_m20_129_i4.mr
1948,Porsche 356 1100 (Type 369) 40 @ 4200,4,73.5,64,1086.1868,7,136,2.125,38,8.5,34.5,8.2,220,220,107.5,0,40s/porsche_369_66_b4.mr
1951,GAZ-12 1951 90 @ 3600,6,82,110,3485.4714,6.7,202,1.8364,39,9.2,36,9.2,240,240,109,-2,40s/gaz_12_213_i6.mr
2023,Created by oror 2023,30,87.3125,114.3,20531.0052,6.2,200.025,1.75,43.6563,9.6266,38.8937,9.6266,236,236,109,3,40s/chrysler_a57_1253_r30.mr
2023,Created by oror 2023,10,73.025,120.65,5053.1285,6.5,228.6,1.8947,34.925,7.9375,34.925,7.9375,224,234,111.5,-0.5,40s/ford_308_v10.mr
2023,Created by oror 2023,8,137.2108,152.4,18027.7459,7.5,266.7,1.75,53.848,12.7,48.26,12.7,240,240,112.5,-2.5,40s/ford_gaa_1100_v8.mr
2023,Created by oror 2023,6,101.6,114.3,5559.9998,6,217,1.8985,48.5,10.42,44,10.42,269,269,113.5,-1,40s/zis_124_339_i6.mr
