year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1800,150 @ 1800,7,114.3,139.7,10034.0622,5,230.981,1.6534,55.5625,12.7,55.5625,12.7,246,246,117,0,aircraft/axelson_612_r7.mr
1800,Aeromarine Model U-8-D 228 HP @ 1800,8,107.95,165.1,12088.495,5.38,304.8,1.8462,46.6725,11.1125,45.212,11.1125,210.3,234.6,113.16,-3.22,aircraft/aeromarine_u8d_738_v8.mr
1800,Peugeot Type 16 AJ 440 @ 1800,16,120,160,28952.9179,5,280,1.75,40,9,40,9,214.4,240.2,115.66,-3.27,aircraft/peugeot_1767_v16.mr
1800,Renault 8G 198 HP @ 1800,8,125,150,14726.2156,4.36,300,2,66,11,66,11,245,235,107.5,0,aircraft/renault_8g_899_v8.mr
1800,Salmson 9AC 120 @ 1800,9,100,130,9189.1585,5,235,1.8077,46,9,46,9,245,250,113.75,1.25,aircraft/salmson_9ac_562_r9.mr
1820,Wright R-1820 Cyclone,9,155.575,174.625,29875.7234,6.4,349.25,2,78,15.875,78,15.875,239,279,109.5,5,aircraft/wright_r1820_1826_r9.mr
1820,М-25 ; АШ-62 (R-1820-F3 copy),9,155.5,174.5,29825.5601,6.4,350,2.0057,78,14.25,78,14.25,239,279,109.5,5,aircraft/m25_1823_r9.mr
1900,Hispano-Suiza 8E 190 @ 1900,8,120,130,11762.1229,5.33,225,1.7308,56,10,56,10,220,235,113.8,-6.2,aircraft/hs_8e_719_v8.mr
1900,Wright R-1750 Cyclone 525 @ 1900,9,152.4,174.625,28668.7491,5,349.25,2,76.2,15.875,76.2,15.875,265,285,112.5,5,aircraft/wright_r1750_1752_r9.mr
1908,Renault WS 88 @ 1800,8,105,130,9005.3753,4,260,2,45,10,45,10,225,257,114.75,-4.25,aircraft/renault_ws_550_v8.mr
1912,Panhard V-12-J 340 @ 1700,12,115,170,21189.2571,5.2,292,1.7176,62,12,62,12,220,245,106.25,1.25,aircraft/panhard_v12j_1296_v12.mr
1913,Renault 12D 138 @ 1800,12,105,130,13508.063,4,260,2,45,10,45,10,225,257,114.75,-4.25,aircraft/renault_12d_825_v12.mr
1914,RAF 3A 220 @ 1800,12,114.3,139.7,17201.2495,4.75,279.4,2,47.5,11.55,47.5,9.9,206,239,122.25,-4.75,aircraft/raf_3a_1050_v12.mr
1914,RAF 4A 140 @ 1800,12,100,140,13194.6891,4.3,280,2,44,8.8,40,6.5,211,258,114.9,-2.9,aircraft/raf_4_805_v12.mr
1915,Benz Bz IIIa 195 @ 1400,6,140,190,17548.9366,5.1,330,1.7368,43,11,43,11,220,253,111.75,-3.25,aircraft/benz_bz3a_1071_i6.mr
1915,Duesenberg Special A3 85 @ 2220,4,111.125,152.4,5912.3262,4.6,304.8,2,55.5625,9.525,55.5625,9.525,230,240,112.5,-2.5,aircraft/duesenberg_361_i4.mr
1916,ABC Wasp 170 @ 1800,7,115,150,10906.2352,4.18,237.7186,1.5848,54.7624,13.2,33.3502,7.4,224,235,109.75,-2.25,aircraft/abc_wasp_667_r7.mr
1916,Benz Bz VI 500 @ 1800,12,145,200,39631.1913,4.97,348,1.74,57,11.9,57,12.5,240,255,111.25,1.25,aircraft/benz_bz6_2487_v12.mr
1916,Duesenberg Airplane Engine 140 @ 2100,4,120.65,177.8,8130.8562,5,374.65,2.1071,49.2125,11.5094,50.8,11.5094,225,240,108.75,-3.75,aircraft/duesenberg_496_i4.mr
1916,Duesenberg V12 350 @ 1800,12,123.825,177.8,25693.2804,5,374.65,2.1071,55.5625,12.7,55.5625,12.7,225,240,108.8,-3.8,aircraft/duesenberg_1568_v12.mr
1916,Lancia Tipo 4 380 @ 1420,12,120.65,180,24694.389,4.75,285,1.5833,70,14,70,14,220,230,112.5,-2.5,aircraft/lancia_1507_v12.mr
1916,Maybach Mb.IVa (Mercedes 300HP) 304.5 @ 1500,6,165,180,23093.0622,5.95,310,1.7222,54,9.45,54,9.45,223,220,103.25,-0.25,aircraft/maybach_1409_i6.mr
1916,Peugeot L112 (8Aa) 200 @ 2000,8,100,180,11309.7336,5.3,295,1.6389,52,10,48,10,215.3,239.7,115.75,-3.32,aircraft/peugeot_690_v8.mr
1916,Renault 12Fe (220 HP version is Рено WC (М-3)) 300 CV 285 @ 1550,12,125,150,22089.3233,5,300,2,66,10,66,10,219.9,246.8,110.19,-5.29,aircraft/renault_12f_1348_v12.mr
1916,Renault 18JBr 750-850 CV 750 @ 2100,18,125,170,37551.8497,5.6,300,1.7647,45,10,45,10,220,246,116.5,-3.5,aircraft/renault_18j_2292_w18.mr
1917,Basse-Selve 269 @ 1400 ; 300 @ 1600,6,155,200,22643.0291,4.34,360,1.8,60,10,60,10,200,232,109.5,-0.5,aircraft/basse_selve_1382_i6.mr
1917,Benz BZ 3bV 215 @ 2000,8,135,135,15458.9921,5.7,250,1.8519,60,11.7,40,10.1,243,272,112.25,-6.25,aircraft/benz_bz3bv_v8.mr
1917,BMW IIIa 180 @ 1410 ; 254 @ 1600,6,150,180,19085.1754,6.42,325,1.8056,72,12.9,72,12.5,221,260,107.75,2.25,aircraft/bmw_3a_1165_i6.mr
1917,Curtiss K-12 375 @ 2250,12,114.3,152.4,18764.9994,5.63,254,1.6667,43.7,10.3187,43.7,10.3187,218,228,111.5,2.5,aircraft/curtiss_k12_1161_v12.mr
1917,Fiat A.14 725 @ 1730,12,170,210,57198.9774,4.85,365,1.7381,71,11.91,71,11.23,217,230,113.25,-3.25,aircraft/fiat_a14_3490_v12.mr
1917,Isotta Fraschini V.6 250 @ 1650,6,140,180,16625.3083,5.1,325,1.8056,65.126,11,65.126,12.5,220,234,110.5,-7.5,aircraft/if_v6_1015_i6.mr
1917,King Bugatti-Duesenberg 500 @ 2300,16,110,160,24328.4935,5,265,1.6562,39,12,57.5,12,225,240,108.75,-3.75,aircraft/bugatti_u16_1485_u16.mr
1917,King V12 550 @ 1900,12,139.7,177.8,32703.6101,5,304.8,1.7143,84.9312,15.0812,58.7375,12.7,220,242,114.5,-5.5,aircraft/king_1996_v12.mr
1917,Mercedes D.IV 232 @ 1440,8,140,160,19704.0691,4.73,291.95,1.8247,67.818,11.5,67.818,10.5,229,248.3,112.18,-4.32,aircraft/mercedes_div_1202_i8.mr
1917,Miller V12 300 @ 1600,12,127,152.4,23166.6659,4.5,304.8,2,67.4687,12.7,67.4687,12.7,225,225,107.5,0,aircraft/miller_1414_v12.mr
1917,Rolls-Royce Eagle VIII 361 @ 1900,12,114.3,165.1,20328.7494,4.88,317.5,1.9231,54.5846,11.176,54.5846,10.922,224,248,118,-4,aircraft/rr_eagle_1252_v12.mr
1918,ABC Dragonfly 320 @ 1650,9,139.7,165.1,22775.7285,4.432,311.15,1.8846,73.66,13.4874,48.26,9.525,232,255,114.25,-1.75,aircraft/abc_dragonfly_1392_r9.mr
1918,Daimler D VI 513 @ 1440,18,140,160,44334.1555,4.64,326,2.0375,67.8,11.5,67.8,11.5,220,230,107.5,-2.5,aircraft/mercedes_dvi_2705_w18.mr
1918,Duesenberg Model H 800 @ 1800,16,152.4,190.5,55599.9983,4.66,323.85,1.7,74.6125,14.2875,55.5625,12.7,225,240,108.75,-3.75,aircraft/duesenberg_3393_v16.mr
1918,Galloway Atlantic 500 @ 1500,12,145,190,37649.6318,4.9,340,1.7895,74,10,52,12,227,244,113.75,-7.75,aircraft/galloway_2367_v12.mr
1918,Hispano-Suiza 8Fb 300 @ 2100,8,140,150,18472.5648,5.32,263.5,1.7567,62,10,62,10,224,233,113.2,-6.8,aircraft/hs_8f_1127_v8.mr
1918,Lorraine 400 C.V. 12E 400 @ 1700,12,120,170,23071.8564,5.25,302,1.7765,61.2,8.71,60,8.71,228,234,114.5,-1.5,aircraft/ld_12e_1408_v12.mr
1918,Lorraine 650 C. V. 18Kd 730 @ 2000,18,120,180,36643.5367,6,300,1.6667,61.2,8.71,60,8.71,228,234,114.5,-1.5,aircraft/ld_18kd_2236_w18.mr
1918,Renault 12M 550-600 CV 600 @ 1650,12,150,175,37110.0632,4.8,300,1.7143,54,11,54,11,222,238,119.15,-0.15,aircraft/renault_12m_2265_v12.mr
1919,Benz Bz Vb 400 @ 1800,12,135,150,25764.9868,5,303,2.02,66,11.7,45,10.1,243,272,112.25,-6.25,aircraft/benz_bz5b_1606_v12.mr
1919,Engineering Division Model W-1 750 @ 1800,18,139.7,165.1,45551.4569,5.4,330.2,2,50.8,9.525,50.8,9.525,210,240,112.5,-2.5,aircraft/ed_w1_2832_w18.mr
1919,Lancia Tipo 5 600 @ 1700,12,150,180,38170.3507,4.75,285,1.5833,70,14,70,14,230,230,110,0,aircraft/lancia_2329_v12.mr
1919,Lorraine-Dietrich 12Ew 420 @ 1800,12,120,180,24429.0245,6,310,1.7222,60,13.5,60,13.5,229,237,115,-2.5,aircraft/ld_12ew_1491_w12.mr
1919,Lorraine-Dietrich 12G 1000 @ 1600,24,126,180,53865.999,5.2,310,1.7222,65,13.5,65,13.5,229,237,115,-2.5,aircraft/ld_12g_3288_w24.mr
1919,Packard 1A-1116 270 @ 1600,12,120.65,133.35,18294.4265,5.56,228.6,1.7143,57.15,11.1125,57.15,9.525,215,236,113.75,-3.75,aircraft/packard_1a1116_1116_v12.mr
1920,Bristol Lucifer 112 @ 1600,3,146.05,158.75,7978.6239,4.8,280.194,1.765,50.8,11.8872,50.8,11.8872,224,260,116,-6,aircraft/bristol_lucifer_487_r3.mr
1920,Packard 1A-2025 550 @ 1800,12,146.05,165.1,33191.0754,5.08,279.4,1.6923,56.7436,11.1125,56.7436,9.525,215,236,113.75,-3.75,aircraft/packard_1a2025_2025_v12.mr
1920,Panhard W16 700 @ 1700,16,145,170,44915.3502,5.2,306,1.8,60,13,60,13,220,245,106.25,1.25,aircraft/panhard_2743_w16.mr
1920,Rausie E-6 175 @ 1650,6,127,152.4,11583.333,5.491,298.45,1.9583,61.9125,12.1412,61.9125,12.1158,210,243,110.75,-4.25,aircraft/rausie_e6_707_i6.mr
1921,Packard Model 1551 350 @ 1400,6,168.275,190.5,25419.9862,6.5,323.85,1.7,57.15,11.1125,57.15,9.525,215,236,113.75,-3.75,aircraft/packard_1551_i6.mr
1922,Curtiss C-6 160 @ 1750,6,114.3,152.4,9382.4997,5.4,254,1.6667,41.275,10.3187,41.275,10.3187,221,235,104,8.5,aircraft/curtiss_c6_572_i6.mr
1923,(1925?) Bugatti Type 34,16,125,180,35342.9174,5,267.5,1.4861,41,13.3,60,16.6,225,240,108.75,-3.75,aircraft/bugatti_t34_2157_u16.mr
1923,Armstrong Siddeley Jaguar 385 @ 1800,14,127,139.7,24775.4622,5,270.65,1.9374,60,14.25,60,14.25,239,279,109.5,5,aircraft/as_jaguar_1514_r14.mr
1923,Packard 1A-1237 350 @ 2000,12,127,133.35,20270.8327,5,228.6,1.7143,57.15,11.1125,57.15,9.525,215,236,113.75,-3.75,aircraft/packard_1a1237_1237_v12.mr
1923,Packard 2A-1500 600 @ 2500,12,136.525,139.7,24540.9801,5.5,228.6,1.6364,53.975,10.9982,50.0062,9.2964,215,236,113.75,-3.75,aircraft/packard_2a1500_1530_v12.mr
1923,Renault 12Kb 450 @ 1600,12,134,180,30461.6364,5,320,1.7778,49,10.2,49,10.2,220,246,116.5,-3.5,aircraft/renault_12k_1859_v12.mr
1923,Rolls-Royce Condor III 650 @ 1900,12,139.7,190.5,35039.5822,6.5,330.2,1.7333,48.4,13.0969,48.4,13.0969,248,248,112,2,aircraft/rr_condor_2138_v12.mr
1923,Wright T-3 Tornado 525 @ 1800,12,146.05,158.75,31914.4955,5.3,277.7,1.7493,52,12.3,52,12.2,247,265,111.25,-3.75,aircraft/wright_t3_1948_v12.mr
1925,Isotta-Fraschini Asso 500 513 @ 1850,12,140,150,27708.8472,5.65,258,1.72,45,8.9,45,8.8,230,230,110,0,aircraft/if_asso500_1716_v12.mr
1925,Isotta-Fraschini Asso 750 750 @ 1600,18,140,170,47105.0402,5.65,325,1.9118,45,9.6,45,9.5,230,230,110,0,aircraft/if_asso750_2875_w18.mr
1925,Junkers L5 280 @ 1400,6,160,190,22921.06,5.5,325,1.7105,72,12.1,72,11.9,212,241.5,104.12,3.12,aircraft/junkers_l5_1399_i6.mr
1925,Packard 2A-2500 800 @ 2000,12,161.925,165.1,40798.6706,5.5,279.4,1.6923,65.8812,14.2875,57.5469,12.7,215,236,113.75,-3.75,aircraft/packard_2a2500_2547_v12.mr
1925,Wright P-2 435 @ ?,9,152.4,165.1,27104.9992,5,340.36,2.0615,73.025,15.875,66.675,15.875,265,285,112.5,5,aircraft/wright_p2_1656_r9.mr
1925,Wright R-790 Whirlwind J-5 220 @ 2000,9,114.3,139.7,12900.9371,5.1,276.1742,1.9769,53.975,12.7,53.975,12.7,248,248,116,0,aircraft/wright_r790_788_r9.mr
1925,М-9 («ЛИБЕРТИ Х») 530 @ 1750,16,127,177.8,36037.0359,5.4,304.8,1.7143,69.85,11.1125,69.85,9.525,235,236,108.75,1.25,aircraft/m9_2214_x16.mr
1926,Bristol Jupiter VI (Rhone Valve params) 420 @ 1650,9,146.05,190.5,28723.046,5.3,342.9,1.8,56.5,13,49.8,13,244,276,108,-1,aircraft/bristol_jupiter_1754_r9.mr
1926,Curtiss V-1570 Conqueror 600 @ 2400,12,130.175,161.131,25733.8878,6.1,254,1.5764,47.5,12.77,47.5,12.77,240,245,116.25,1.25,aircraft/curtiss_conqueror_1596_v12.mr
1926,Pratt & Whitney R-1340 Wasp 600 @ 2250,9,146.05,146.05,22021.0019,6,317.5,2.1739,65.7352,14.8,65.7352,14.8,282,282,112.5,-2.5,aircraft/pw_r1340_1345_r9.mr
1926,Pratt & Whitney R-1690 Hornet 789 @ 2300,9,155.575,161.925,27702.9435,6,342.9,2.1176,66.675,17.4625,66.675,14.2875,250,282,112.5,-2.5,aircraft/pw_r1690_1692_r9.mr
