year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1972,ЗиЛ-Э114С 305 HP @ 4000,8,108,105,7695.1427,9.3,180,1.7143,52,10.2,41.5,10.2,312,324.5,116.12,-12.38,contemporary/zil_e114_470_v8.mr
1974,M33 300 @ 5700,12,86,71.6,4990.9251,9,150,2.095,46,11.2,38,11.2,276,276,112,0,contemporary/bmw_m33_305_v12.mr
1976,Ferrari 246 GT/GTS (135 CS) 195 @ 7600,6,92.5,60,2419.2227,9,118,1.9667,42.4,9.35,36.7,8.55,272,264,98.5,2.5,contemporary/ferrari_135cs_148_v6.mr
1978,M28 292 @ 5750,8,100,78.9,4957.4332,10.1,150,1.9011,35,9,32,8,225,215,106,-3.5,contemporary/porsche_928_303_v8.mr
1978,M28 4.5 231 @ 5500,8,95,78.9,4474.0835,8.5,150,1.9011,43,11,38,10,243,220,110.75,-2.75,contemporary/porsche_928_273_v8.mr
1978,M28 4.7 242 @ 5250,8,97,78.9,4664.4489,9.3,150,1.9011,45,12,40,11,237,207,104.5,-3,contemporary/porsche_928_285_v8.mr
1991,Audi 6.0 W12 509 @ 5800,12,84,90.2,5998.4112,10,153,1.6962,24.5,10,29,10,254,254,110,0,contemporary/audi_tf_366_w12.mr
1991,Mercedes-Benz M 120 6.0 408 HP @ 5200,12,89,80.2,5987.224,10,153.8,1.9177,35,9.2,31,9.35,241,261,110,0,contemporary/mercedes_m120_365_v12.mr
1992,M28 350 @ 5700,8,100,85.9,5397.2562,10.4,150,1.7462,37,9.5,33,8.5,254,220,106,-8,contemporary/porsche_928_329_v8.mr
1995,Chrysler Atlantic 1995,8,87.5,83,3992.7679,10.5,151,1.8193,34.5,8.89,29.5,8.89,220,252,109.5,-0.5,contemporary/chrysler_atlantic_244_i8.mr
1995,Ferrari F50 (F130B) 520 @ 8500,12,85,69,4698.4874,11.3,126,1.8261,26.7,7.5,28.6,8,252,262,109,1,contemporary/ferrari_f130b_287_v12.mr
1998,Mercedes-Benz M 137 362 HP @ 5500,12,84,87,5785.6073,10,138.7,1.5943,35,11.2,37.1,11.2,260,264,114,0,contemporary/mercedes_m137_353_v12.mr
1998,Mercedes-Benz M 297 6.9 612 HP @ 6800,12,89,92.4,6897.9988,10.5,154,1.6667,35,10.45,31,10.15,268,257,110,0,contemporary/mercedes_m297_421_v12.mr
2000,Jaguar AJ30 245 @ 6100,8,86,85,3949.9873,10.75,155.321,1.8273,34.9,9,30.9,9,245,240,108.75,1.25,contemporary/jaguar_241_v8.mr
2002,Ferrari (F140) 650 @ 7800,12,92,75.2,5998.8033,11.2,134,1.7819,35,7.5,30,8,252,262,109,1,contemporary/ferrari_f140_366_v12.mr
2003,340 @ 6000,8,93,83,4510.4914,11.5,155,1.8675,37.1,11.2,32.5,11.2,268,268,110,0,contemporary/porsche_m48_275_v8.mr
2003,Mercedes-Benz M 275 362 HP @ 5500,12,82,87,5513.382,9,144.5,1.6609,35,11.2,37.1,11.2,260,264,114,0,contemporary/mercedes_m275_336_v12.mr
2003,Viper 501 @ 5600,10,102.362,100.584,8277.4451,9.6,158.5,1.5758,50.8,14.0716,40.132,14.0716,305,290,118.75,2.75,contemporary/viper_505_v10.mr
2003,Viper 501 @ 5600,10,103,100.584,8380.9497,10.2,158.5,1.5758,52.832,14.3739,40.894,13.589,305,290,118.75,2.75,contemporary/viper_511_v10.mr
2023,Created by oror 2023,12,95,76.4,6498.4787,11.8,135,1.767,33.4,11.38,29.4,11.51,288,270,108.5,4.5,contemporary/aventador.mr
2023,Created by oror 2023,8,89,80,3981.5289,10,143,1.7875,35,9.7,30.5,9.4,246,242,110,4,contemporary/bmw_m60_243_v8.mr
2023,Created by oror 2023,8,94,89,4941.1221,11,141.5,1.5899,35,10.3,30.5,10.2,252,248,110,0,contemporary/bmw_s62_302_v8.mr
2023,Created by oror 2023,12,86,87,6064.3922,11,142.6,1.6391,37.8,11,31,11,264,264,112,0,contemporary/bmw_s70_370_v12.mr
2023,Created by oror 2023,16,105,98,13577.3351,10.6,155.575,1.5875,55.88,15.0114,41.021,14.9606,227,260,110.75,2.25,contemporary/cadillac_xv16_829_v16.mr
2023,Created by oror 2023,8,103.25,92,6162.3706,11.5,154.9,1.6837,54,13.9954,40.4,13.3096,200,207,,,contemporary/chevrolet_lt1_376_v8.mr
2023,Created by oror 2023,8,104.2416,80,5462.0037,12.5,145,1.8125,42.0116,13.9954,35.0012,13.3096,276,290,114,0,contemporary/chevrolet_lt6_333_v8.mr
2023,Created by oror 2023,8,103.9,90.9,6165.5929,9.5,157.48,1.7325,54.3052,13.208,41.9862,13.208,263,277,127,0,contemporary/chrysler_hemi_376_v8.mr
2023,Created by oror 2023,12,101.6,88.392,8599.4664,10.4,144.78,1.6379,49.276,11.7856,38.1,12.0142,213,219,112,0,contemporary/falconer_525_v12.mr
2023,Created by oror 2023,12,104.775,95.25,9854.8825,10.9,155.575,1.6333,49.276,12.4206,38.1,11.811,227,241,107,0,contemporary/falconer_601_v12.mr
2023,Created by oror 2023,12,82,78,4943.0321,9.2,137,1.7564,28.4,9,25.4,9,244,244,109,3,contemporary/ferrari_f113a_302_f12.mr
2023,Created by oror 2023,8,85,77,3495.4931,11,137,1.7792,26.6,9.1,28.5,9.4,238,252,106.5,3.5,contemporary/ferrari_f129_213_v8.mr
2023,Created by oror 2023,12,88,75,5473.911,10.6,131,1.7467,34,10.2,29.2,10.2,243,229,108,-6.5,contemporary/ferrari_f133a_334_v12.mr
2023,Created by oror 2023,8,94,81,4496.9763,13,144,1.7778,37.9,10,31.1,10,280,280,110,0,contemporary/ferrari_f136_274_v8.mr
2023,Created by oror 2023,12,94,75.2,6262.4558,13.5,134,1.7819,37.8,10.2,31,10.2,243,229,108,-6.5,contemporary/ferrari_f140ed_382_v12.mr
2023,Created by oror 2023,8,86.5,83,3902.0262,9.4,144,1.7349,37.8,10,31,10,280,280,110,0,contemporary/ferrari_f154_238_v8.mr
2023,Created by oror 2023,6,93.03,68.58,2796.9497,9.2,130.556,1.9037,42.1,9.4996,38.1,9.4488,276,278,114,0,contemporary/ford_cologne_171_v6.mr
2023,Created by oror 2023,8,92.2,92.7,4951.3251,12,150.7,1.6257,38,13.1064,31,13.0556,263,277,127,0,contemporary/ford_coyote_302_v8.mr
2023,Created by oror 2023,8,90.2,90,4600.8222,9.9,150.7,1.6744,37,13.97,30,13.97,228,230,112,3,contemporary/ford_modular_281_v8.mr
2023,Created by oror 2023,12,90.2208,77.216,5923.6825,8,150.6982,1.9516,37,11.43,30,11.43,222,222,114,0,contemporary/ford_modular_361_v12.mr
2023,Created by oror 2023,8,82.4,79.5,3391.575,10,138.1,1.7371,32,10,27,10.41,173,203,110,2,contemporary/ford_sho_207_v8.mr
2023,Created by oror 2023,8,94,93,5163.195,12,150.7,1.6204,37.7,14,32,14,234,235,120.5,0,contemporary/ford_voodoo_315_v8.mr
2023,Created by oror 2023,6,98.4,86.7,3955.9467,8.8,155.575,1.7944,48.514,15.24,38.1,15.24,253.3,258,107.53,-6.73,contemporary/jeep_241_i6.mr
2023,Created by oror 2023,10,82.5,92.8,4960.7319,11.5,154,1.6595,33,12,30,12,288,278,108,0,contemporary/lambo_303_v10.mr
2023,Created by oror 2023,10,84.5,92.8,5204.1676,12.5,154,1.6595,34.85,11.6,29,12,288,278,108,0,contemporary/lambo_318_v10.mr
2023,Created by oror 2023,12,87,80,5706.8916,10,138.5,1.7312,32.5,9.6774,27.5,7.9502,280,260,116.5,3.5,contemporary/lambo_diablo_348_v12.mr
2023,Created by oror 2023,12,87,86.8,6191.9773,10.7,134.3,1.5472,33.4,11.38,29.4,11.51,288,270,108.5,4.5,contemporary/lambo_murcielago_378_v12.mr
2023,Created by oror 2023,8,97,84,4965.9532,9.5,148.5,1.7679,38,10.8,41,10.8,260,268,114,0,contemporary/mercedes_m113_303_v8.mr
2023,Created by oror 2023,12,91.5,92.4,7290.9696,10.5,153.8,1.6645,35,9.55,31,10.15,250,257,110,0,contemporary/mercedes_m120_445_v12.mr
2023,Created by oror 2023,8,83,92,3982.2074,10.5,153,1.663,30.5,10,24.5,10,256,268,114,0,contemporary/mercedes_m177_243_v8.mr
2023,Created by oror 2023,8,93,69.9,3798.5946,8.7,155,2.2175,35.8,9,31.5,8,320,336,106,4,contemporary/mp4_12c_232_v8.mr
2023,Created by oror 2023,6,86,73.7,2568.6535,8.5,121.5,1.6486,34.65,8.58,30.15,8.28,240,236,110,4,contemporary/nissan_rb26dett_157_i6.mr
2023,Created by oror 2023,6,95.5,81.4,3498.4227,9.2,144,1.769,37.1,11.5,31.3,11,250,232,116,-4,contemporary/nissan_vq35de_213_v6.mr
2023,Created by oror 2023,6,95.5,88.4,3799.2698,10.3,165,1.8665,37.15,10,32.15,9.25,252,230,113,0,contemporary/nissan_vr38dett_232_v6.mr
2023,Created by oror 2023,6,100,76.4,3600.2652,11.3,127,1.6623,50,13.2,43.5,13.2,288,280,114,0,contemporary/porsche_964_220_b6.mr
2023,Created by oror 2023,6,100,76.4,3600.2652,11.3,127,1.6623,50,12,43.5,11,241,230,114.75,-4.75,contemporary/porsche_993_220_b6.mr
2023,Created by oror 2023,8,91,86,4474.6709,10.5,147.32,1.713,45,12.7,36,12.7,270,270,108,3,contemporary/tvr_ajp8_273_v8.mr
2023,Created by oror 2023,2,76,71,644.1773,9.9,121,1.7042,36,9.6,30.5,9,266,252,105.5,-1.5,contemporary/vaz_1111_39_i2.mr
2023,Created by oror 2023,10,101.6,98.552,7989.9257,9.6,155.5242,1.5781,48.768,13.8176,40.64,13.8176,212,232,110,4,contemporary/viper_488_v10.mr
2023,Created by oror 2023,8,84,90.2,3998.9408,10.7,164,1.8182,31,11.4,27,11.4,268,268,115,0,contemporary/vw_245_w8.mr
2023,Created by oror 2023,10,81,90.2,4648.0036,10.8,164,1.8182,31,11.4,27,11,268,262,112,0,contemporary/vw_284_vr10.mr
2023,Created by oror 2023,12,84,90.2,5998.4112,10.7,164,1.8182,31,10,27,10,210,255,,,contemporary/vw_366_w12.mr
2023,Created by oror 2023,18,76.5,75.6,6254.7082,10,144,1.9048,29.5,10,26,10,260,252,117,-7,contemporary/vw_382_w18.mr
2023,Created by oror 2023,16,86,86,7992.9154,8.3,164,1.907,31,10,27,10,235,233,99.5,8,contemporary/vw_488_w16.mr
2023,Created by oror 2023,6,84,95.9,3188.7341,11.3,164,1.7101,31,11.4,27,11.4,268,268,,,contemporary/vw_vr6.mr
2023,Created by oror 2023,,,,,,,,,,,,,,,,contemporary/wank.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_1.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_2.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_3.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_4.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_4c.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_5.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_6.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_6_r.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_7.mr
2023,Created by oror 2023,,,3,,,,,,,,,,,,,contemporary/wankel_7_p4.mr
2023,Created by oror 2023,8,108,95,6962.272,8.5,175,1.8421,53.5,10.6,43,10.6,312,316,112,-16.5,contemporary/zil_4101_425_v8.mr
2023,Created by oror 2023,8,108,105,7695.1427,9.3,175,1.6667,53.5,10.6,43,10.6,312,316,112,-16.5,contemporary/zil_4104_470_v8.mr
2023,Created by oror 2023,6,92,80,3190.8528,9.5,158,1.975,37,9.2,31.5,9.2,240,240,103,1,contemporary/zmz_301_195_v6.mr
2023,Created by oror 2023,4,92,86,2286.7779,9.3,158,1.8372,37,9.2,31.5,9.2,240,240,103,1,contemporary/zmz_406_140_i4.mr
2023,Created by oror 2023,12,89,80.2,5987.224,10,153.8,1.9177,35,9.2,31,9.35,241,261,,,contemporary/zonda.mr
2024,Created by oror 2024,12,84,75,4987.5925,8.8,135,1.8,42,10.5,35,11,246,264,110,4,contemporary/bmw_m70_304_v12.mr
2024,Created by oror 2024,16,84,75,6650.1233,8.8,135,1.8,42,10.5,35,11,246,264,110,4,contemporary/bmw_m70_406_v16.mr
2024,Created by oror 2024,12,85,79,5379.4276,10,135,1.7089,42,10.3,36,10.3,240,240,110,4,contemporary/bmw_m73_328_v12.mr
2024,Created by oror 2024,12,86,80,5576.4526,9.8,135,1.6875,42,10.5,35,11,246,264,110,4,contemporary/bmw_s70_340_v12.mr
2024,Created by oror 2024,10,92,75.2,4999.0028,12,140.5,1.8684,35.4,11.7,30.5,11.5,268,260,110,5,contemporary/bmw_s85_305_v10.mr
2024,Created by oror 2024,6,96.52,86.36,3791.3021,9.4,151.56,1.755,43.434,10.4775,37.767,10.687,258,258,110,0,contemporary/buick_231_v6.mr
2024,Created by oror 2024,6,101.6,88.392,4299.7332,9.2,144.78,1.6379,49.276,10.5156,38.1,10.8712,206,228,104.5,-1.5,contemporary/chevrolet_vortec_262_v6.mr
2024,Created by oror 2024,12,89,79.5,5934.9665,10.3,138.1,1.7371,35,9.8,30,9.8,232,248,112,0,contemporary/ford_duratec_362_v12.mr
2024,Created by oror 2024,12,90,78.5,5992.7451,11,151.45,1.9293,41.275,9.525,34.46,9.525,256,256,111,0,contemporary/jaguar_366_v12.mr
