year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1934,American La France 316 320 @ 2800,8,215.9,254,74390.7384,16,584.2,2.3,158,35,63.5,17.4244,50,40,25,27.5,diesel/emd_567_4540_v8.mr
1934,American La France 316 320 @ 2800,12,215.9,254,111586.1076,16,584.2,2.3,158,35,63.5,17.4244,50,40,25,27.5,diesel/emd_567_6809_v12.mr
1934,American La France 316 320 @ 2800,16,215.9,254,148781.4768,16,584.2,2.3,158,35,63.5,17.4244,50,40,25,-305,diesel/emd_567_9079_v16.mr
1934,ЗиС-Д7 96 @ 2200 ; 360 Nm @ 1200,6,100,130,6126.1057,16.75,243,1.8692,48,9.5,45,9.5,236,246,110.5,2.5,diesel/zis_d7_374_i6.mr
1951,ALCO 251,16,228.6,266.7,175139.9945,11.75,533.4,2,72.39,15.24,72.39,15.24,274,274,96,0,diesel/alco_251_10688_v16.mr
1951,ALCO 251,18,228.6,266.7,197032.4939,11.75,533.4,2,72.39,15.24,72.39,15.24,274,274,96,0,diesel/alco_251_12024_v18.mr
1951,ALCO 251,12,228.6,266.7,131354.9959,11.75,533.4,2,72.39,15.24,72.39,15.24,274,274,96,0,diesel/alco_251_8016_v12.mr
1951,ДГ 400 @ 2000,12,150,180,38170.3507,14.5,320,1.7778,54,13,50,13,248,248,104,0,diesel/dg_2329_f12.mr
1958,UTD-30 580 @ 2600,12,150,150,31808.6256,16,275,1.8333,54,13,49.5,13,248,248,104,0,diesel/utd_30_1941_v12.mr
1958,СМД-7 65 @ 1700,4,115,130,5401.1832,16,230,1.7692,50,12.725,45,12.725,236,246,110.5,2.5,diesel/smd7_330_i4.mr
1961,СМД-14 75 @ 1700,4,120,140,6333.4508,16,250,1.7857,52,12.4275,45,12.4275,236,246,110.5,2.5,diesel/smd14_386_i4.mr
1963,cylinder volume: 3217.0 cm³ (196.31 CI); engine volume: 32.170 L (1963.13 CI),10,160,160,32169.9088,13.5,275,1.7188,54,13,50,13,248,248,104,0,diesel/dtn_10_1963_u10.mr
1963,А-01 135 @ 1700 ; 570 Nm @ 1250,6,130,140,11149.5123,16,265,1.8929,61,13.5,48,13.5,250,250,105,0,diesel/a01_680_i6.mr
1972,~1972 Д-120 30 @ 2000,2,105,120,2078.1635,16.5,217,1.8083,44,11.6,38,11.6,236,236,102,0,diesel/d120_127_i2.mr
1972,~1972 Д-144 53 @ 1800,4,105,120,4156.3271,16.5,217,1.8083,44,11.6,38,11.6,236,236,102,0,diesel/d144_254_i4.mr
1972,СМД-60 150 @ 2000,6,130,115,9158.528,15,210,1.8261,56,12,46,12,229,253,115,3.5,diesel/smd60_559_v6.mr
1974,~1974 Д-240 80 @ 2200,4,110,125,4751.6589,16,230,1.84,48,10.2,42,10.2,242,254,107,2,diesel/d240_290_i4.mr
1995,Д-260 155 @ 2100 ; 625 Nm @ 1400,6,110,125,7127.4883,15,230,1.84,48,10.2,42,10.2,242,254,107,2,diesel/d260_435_i6.mr
2000,12ДН23/30 (14Д40) 2000 @ 750,12,230,300,149571.2262,13.5,610,2.0333,117.4734,25,72,15,50,40,25,-305,diesel/14d40_9193_v12.mr
2000,12ЧН26/26 (2Д49) 2000 - 3400 HP @ 1000 RPM,12,260,260,165649.8974,13.5,580,2.2308,90,22,80,22,265,265,87.5,10,diesel/2d49_10061_v12.mr
2000,ЯАЗ-204 127 @ 2000,4,108,127,4653.7292,17,257.15,2.0248,60,13,40,9.8,60,30,25,27.5,diesel/yaaz_204_284_i4.mr
2000,ЯАЗ-206 170 @ 2000,6,108,127,6980.5937,17,257.15,2.0248,60,10,40,9.8,50,40,25,-305,diesel/yaaz_206_426_i6.mr
2023,Created by oror 2023,16,250,270,212057.5041,12.8,605,2.2407,76,20,72,20,290,290,82.5,1.5,diesel/2d70_13131_v16.mr
2023,Created by oror 2023,16,260,260,220866.5299,13.5,580,2.2308,90,22,80,22,265,265,87.5,10,diesel/5d49_13414_v16.mr
2023,Created by oror 2023,8,260,260,110433.265,13.5,580,2.2308,90,22,80,22,265,280,87.5,12,diesel/6d49_6707_v8.mr
2023,Created by oror 2023,8,323.85,393.7,259437.7002,13.45,838.2,2.129,106.362,23.8252,106.362,23.8252,260,260,100,2,diesel/baldwin_608a_15832_i8.mr
2023,Created by oror 2023,6,102,120,5883.3234,17,192,1.6,45,10.4458,42,11.6904,189,194,114.5,0,diesel/cummins_359_i6.mr
2023,Created by oror 2023,12,150,180,38170.3507,14,320,1.7778,54,13,50,13,248,248,104,0,diesel/d12_2373_v12.mr
2023,Created by oror 2023,2,95,120,1701.1724,18,210,1.75,39,9.375,36,9.375,236,236,102,0,diesel/d16_104_i2.mr
2023,Created by oror 2023,4,100,130,4084.0704,17.6,260,2,38,12.243,34,12.243,236,246,110.5,2.5,diesel/d35_249_i4.mr
2023,Created by oror 2023,6,318,330,157256.7557,11,710,2.1515,102,19.5,102,19.5,295,286,78.25,10.75,diesel/d50_9596_i6.mr
2023,Created by oror 2023,4,125,152,7461.2826,16,330,2.1711,47.5,11.9,48,11.9,210,240,101.5,4.5,diesel/d54_455_i4.mr
2023,Created by oror 2023,6,310,360,163029.8092,11,690,1.9167,100,19.5,100,19.5,295,280,76.25,8.75,diesel/k6s310dr_9949_i6.mr
2023,Created by oror 2023,8,120,120,10857.3442,17,225,1.875,51.5,13.5,46.5,13.5,242,256,113,5,diesel/kamaz_740_663_v8.mr
2023,Created by oror 2023,4,145,205,13540.657,15.5,380,1.8537,60,11.9,60,11.9,226,260,101.5,2.5,diesel/kdm46_826_i4.mr
2023,Created by oror 2023,6,150,150,15904.3128,15.8,275,1.8333,54,13,49.5,13,248,248,104,0,diesel/utd_20_971_v6.mr
2023,Created by oror 2023,10,150,150,26507.188,15.8,275,1.8333,54,13,49.5,13,248,248,104,0,diesel/utd_29_1618_v10.mr
2023,Created by oror 2023,6,130,140,11149.5123,16.5,266,1.9,61,13.5,48,13.5,256,256,108,0,diesel/yamz_236_680_v6.mr
2023,Created by oror 2023,8,130,140,14866.0164,16.5,266,1.9,61,13.5,48,13.5,256,256,108,0,diesel/yamz_238_907_v8.mr
2023,Created by oror 2023,12,130,140,22299.0247,16.5,266,1.9,61.5,13.5,48,13.5,256,256,108,0,diesel/yamz_240_1361_v12.mr
2023,Created by oror 2023,10,120,120,13571.6803,17,225,1.875,51.5,13.5,46.5,13.5,242,256,113,5,diesel/yamz_741_828_v10.mr
2023,Created by oror 2023,42,160,170,143558.2179,13,365,2.1471,65,15,60,15,248,248,,,diesel/zv_m501_8761_r42.mr
2024,Created by oror 2024,8,95,105,5954.1035,18,176,1.6762,34,9.017,28,9.195,176,196,106,2,diesel/powertsroke_363_v8.mr
2024,Created by oror 2024,8,99,108,6650.8019,15.2,176,1.6296,33.8074,8.5344,30.353,8.8392,176,196,106,2,diesel/powertsroke_406_v8.mr
2024,Created by oror 2024,8,104.394,106.172,7270.1094,17.5,181.102,1.7057,42.672,10.287,42.672,10.287,177,185,104,0.5,diesel/powertsroke_444_v8.mr
2024,Created by oror 2024,16,135,160,36643.5367,14.5,320,2,65,10.5,61,10.5,277,297,76.5,0,diesel/sla_2277_x16.mr
2024,Created by oror 2024,6,150,180,19085.1754,14,320,1.7778,54,13,50,13,248,248,104,0,diesel/v4_1165_i6.mr
2025,Created by oror 2025,18,250,270,238564.6921,12.8,605,2.2407,76,20,72,20,290,247,78.75,-3.25,diesel/18d70_14773_v18.mr
2025,Created by oror 2025,20,260,260,276083.1624,13.5,580,2.2308,90,22,80,22,264,308,89,5,diesel/1d49_16768_v20.mr
2025,Created by oror 2025,20,250,270,265071.8801,12.8,605,2.2407,76,20,72,20,290,247,78.75,-3.25,diesel/20d70_16414_v20.mr
2025,Created by oror 2025,10,130,140,18582.5205,16,265,1.8929,61,13.5,48,13.5,250,250,105,0,diesel/a101_1134_i10.mr
2025,Created by oror 2025,12,130,140,22299.0247,16,265,1.8929,61,13.5,48,13.5,250,250,105,0,diesel/a121_1361_i12.mr
2025,Created by oror 2025,8,130,140,14866.0164,16,265,1.8929,61,13.5,48,13.5,250,250,105,0,diesel/a81_907_i8.mr
2025,Created by oror 2025,9,130,140,16724.2685,16,265,1.8929,61,13.5,48,13.5,250,250,105,0,diesel/a91_1021_i9.mr
2025,Created by oror 2025,12,180,200,61072.5612,13.5,350,1.75,65,13,60.5,13,286,286,93,0,diesel/m30_3820_v12.mr
2026,// Created by oror 2026,12,107.95,127,13948.2635,18.7,257.175,2.025,74.705,16,35,10.16,60,15,32.5,31.25,diesel/detroit_12v71_851_v12.mr
2026,// Created by oror 2026,16,107.95,127,18597.6846,18.7,257.175,2.025,74.705,16,35,10.16,60,15,32.5,31.25,diesel/detroit_16v71_1135_v16.mr
2026,// Created by oror 2026,6,107.95,127,6974.1317,18.7,257.175,2.025,74.705,16,35,10.16,60,25,27.5,-302.5,diesel/detroit_6v71_426_v6.mr
2026,// Created by oror 2026,8,107.95,127,9298.8423,18.7,257.175,2.025,74.705,16,35,10.16,60,25,27.5,-302.5,diesel/detroit_8v71_567_v8.mr
2026,// Created by oror 2026,8,122.9424,127,12061.0914,19,257.175,2.025,92,20.44,35,10.16,60,25,27.5,28.75,diesel/detroit_8v92_736_v8.mr
2026,// Created by oror 2026,6,215.9,254,55793.0538,16,584.2,2.3,158,35,63.5,17.4244,50,40,25,27.5,diesel/emd_567_3405_v6.mr
2026,// Created by oror 2026,20,230.187,254,211404.9633,16,584.2,2.3,175,37,63.5,17.48,50,40,25,27.5,diesel/emd_645_12901_v20.mr
2026,Created by oror 2026,16,230,300,199428.3016,13.5,610,2.0333,117.4734,25,72,15,50,40,25,-305,diesel/11d45_12258_v16.mr
2026,Created by oror 2026,6,125,110,8099.4186,16,230,2.0909,43.5,9.5,43.5,9.5,236,246,110.5,2.5,diesel/db67_494_v6.mr
2026,Created by oror 2026,8,103,99,6599.173,16,163,1.6465,34,9.89,33,9.985,208,213,107.5,1.5,diesel/duramax_402_v8.mr
