year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1915,Based on the Lancia patent from 01.07.1915,8,90,117,5954.5747,4.5,216,1.8462,42,9,42,9,220,240,112.5,-2.5,experimental/lancia_363_v8.mr
1922,Jean Joseph Marie Bertrand 20.04.1922,12,85,69,4698.4874,11.3,126,1.8261,26.7,7.5,28.6,8,252,262,109,1,experimental/bertrand_2_f12.mr
1922,Jean Joseph Marie Bertrand 20.04.1922,12,85,69,4698.4874,11.3,126,1.8261,26.7,7.5,28.6,8,252,262,109,1,experimental/bertrand_f12.mr
1937,Heldt 185 @ 3000,8,95.25,129.3815,7375.3395,6,279.4,2.1595,47.625,10.3187,44.45,9.525,250,250,112.5,-2,experimental/heldt_450_v8.mr
2023,Created by oror 2023,8,101.6,88.392,5732.9776,10.4,144.78,1.6379,49.276,11.7856,38.1,12.0142,213,219,112,0,experimental/chevrolet_lt_350_i8.mr
2023,Created by oror 2023,8,92.2,92.7,4951.3251,12,150.7,1.6257,38,13.1064,31,13.0556,263,277,127,0,experimental/ford_coyote_302_f8.mr
2023,Created by oror 2023,8,90.2208,89.9922,4602.5454,9.9,150.6982,1.6746,37,12.192,30,12.192,242,240,,,experimental/ford_modular_281_x8.mr
2023,Created by oror 2023,8,94,93,5163.195,12,150.7,1.6204,37.7,14,32,14,234,235,120.5,0,experimental/ford_voodoo_315_f8.mr
2023,Created by oror 2023,21,89,80.2,10477.6421,10,153.8,1.9177,35,9.2,31,9.35,241,261,110,0,experimental/mercedes_m120_639_w21.mr
2023,Created by oror 2023,22,89,80.2,10976.5774,10,153.8,1.9177,35,9.2,31,9.35,241,261,110,0,experimental/mercedes_m120_670_w22.mr
2023,Created by oror 2023,8,100,76.4,4800.3536,11.3,127,1.6623,50,12.5,43.5,11.1,243,232,115.25,-1.25,experimental/porsche_993_293_b8.mr
2023,Created by oror 2023,10,100,76.4,6000.442,11.3,127,1.6623,50,12.5,43.5,11.1,243,232,115.25,-1.25,experimental/porsche_993_366_b10.mr
2023,Created by oror 2023,12,100,76.4,7200.5304,11.3,127,1.6623,50,13.2,43.5,13.2,288,280,114,0,experimental/porsche_993_439_b12.mr
2023,Created by oror 2023,12,100,76.4,7200.5304,11.3,150,1.9634,50,12.5,43.5,11.1,243,232,115.25,-1.25,experimental/porsche_993_439_x12.mr
2023,Created by oror 2023,18,100,76.4,10800.7955,11.3,127,1.6623,50,13.2,43.5,13.2,288,280,,,experimental/porsche_993_b18.mr
2023,Created by oror 2023,16,100,76.4,9600.7071,11.3,127,1.6623,50,13.2,43.5,13.2,288,280,114,0,experimental/porsche_993_v16.mr
2023,Created by oror 2023,11,100,76.4,6600.4862,11.3,127,1.6623,50,13.2,43.5,13.2,288,280,114,0,experimental/porsche_993_vr11.mr
2023,Created by oror 2023,7,100,76.4,4200.3094,11.3,127,1.6623,50,13.2,43.5,13.2,288,280,114,0,experimental/porsche_993_vr7.mr
2023,Created by oror 2023,9,100,76.4,5400.3978,11.3,127,1.6623,50,13.2,43.5,13.2,288,280,114,0,experimental/porsche_993_vr9.mr
2023,Created by oror 2023,24,86,86,11989.3731,8.3,164,1.907,31,10,27,10,235,233,99.5,8,experimental/vw_732_w24.mr
2023,Created by oror 2023,14,98,66.3,7001.3791,12,132.6,2,38.2,12,31.5,12,270,282,110,0,experimental/xb14.mr
2023,Created by oror 2023,12,108,95,10443.408,8.5,175,1.8421,53.5,10.6,43,10.6,312,316,112,-16.5,experimental/zil_410x_637_v12.mr
2023,Created by oror 2023,16,85,127,11530.5875,5.5,280,2.2047,45,8.75,40,8.75,278.3,230.3,95.5,-19.5,experimental/zis_101_704_v16.mr
2023,Created by oror 2023,6,92,87,3470.0524,9.5,158,1.8161,37,9.2,31.5,9.2,240,240,103,1,experimental/zmz_3xx_212_v6.mr
2023,Created by oror 2023,12,92,87,6940.1049,9.5,158,1.8161,37,9.2,31.5,9.2,240,240,103,1,experimental/zmz_3xx_424_v12.mr
2024,Created by oror 2024,8,150,160,22619.4671,15,280,1.75,58,12,52,12,250,250,110,0,experimental/b78_1380_b8.mr
2024,Created by oror 2024,12,150,160,33929.2007,15,280,1.75,58,12,52,12,250,250,110,0,experimental/b78_2070_x12.mr
2024,Created by oror 2024,16,150,160,45238.9342,15,280,1.75,58,12,52,12,250,250,110,0,experimental/b78_2761_x16.mr
2024,Created by oror 2024,20,82.55,82.55,8836.3134,6.75,161.925,1.9615,38.1,7.366,34.925,7.6708,214,236,103.5,2.5,experimental/cadillac_539_v20.mr
2024,Created by oror 2024,12,101.6,88.392,8599.4664,9.2,144.78,1.6379,49.276,10.5156,38.1,10.8712,206,228,104.5,-1.5,experimental/chevrolet_vortec_525_v12.mr
2024,Created by oror 2024,12,89,80.2,5987.224,10,153.8,1.9177,35,9.2,31,9.35,241,261,110,0,experimental/mercedes_m120cr_365_v12.mr
2024,Created by oror 2024,20,98.21,66,9999.4298,12,132.6,2.0091,38.2,12,32.5,12,270,282,110,0,experimental/p_v20.mr
2024,Created by oror 2024,12,101.6,98.552,9587.9108,9.6,165.1,1.6753,48.768,13.8176,40.64,13.8176,212,232,110,4,experimental/viper_v12_585_v12.mr
2024,Created by oror 2024,9,92,75.2,4499.1025,12,140.5,1.8684,35.4,11.7,30.5,11.5,268,260,110,5,experimental/w9.mr
2024,Created by oror 2024,10,98,66.3,5000.9851,12,132.6,2,38.2,12,31.5,12,270,282,110,0,experimental/xb10_p5.mr
2024,Created by oror 2024,14,98,66.3,7001.3791,12,132.6,2,38.2,12,31.5,12,270,282,110,0,experimental/xb14_p4.mr
2024,Created by oror 2024,18,98,66.3,9001.7732,12,132.6,2,38.2,12,31.5,12,270,282,110,0,experimental/xb18_m3.mr
2025,Created by oror 2025,14,80,70,4926.0173,9,135,1.9286,40,8,35,7.5,272,270,113.5,1.5,experimental/f_r14.mr
2025,Created by oror 2025,12,115,145,18073.1898,5.9,280,1.931,63,12,51,12,245,245,109,-2.5,experimental/porsche_t1xx_1103_v12.mr
2026,Created by oror 2026,20,207,254,170959.9116,15,584.2,2.3,117.4734,25,72,15,50,40,25,-305,experimental/1d101_10536_v20.mr
2026,Created by oror 2026,10,260,320,169897.3307,17,672,2.1,140,32,72,15,50,40,25,27.5,experimental/1d102_10451_i10.mr
2026,Created by oror 2026,12,85,69,4698.4874,11.3,126,1.8261,26.7,7.5,28.6,8,252,262,109,1,experimental/ferrari_f130_test_v12.mr
