year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1908,100 @ 1600,4,155,160,12076.2822,4.5,410,2.5625,91.76,15,99.8,15,187.5,222.5,108.75,2.5,racing/itala_737_i4.mr
1908,Benz 120 PS Grand Prix 138 @ 1600,4,154.7,180,13533.2781,4.5,360,2,63.4,13,63.4,13,200,230,113,10,racing/benz_826_i4.mr
1910,Benz 100 PS Prinz-Heinrich 118 @ 2080,4,115,175,7270.8235,4.7,267,1.5257,57,8,57,8,204,250,113.5,11.5,racing/benz_444_i4.mr
1910,Peugeot Cdl'A/VX5 65 HP @ 2200,2,80,280,2814.867,5,450,1.6071,62,11.5,62,11.5,219,230,112.2,2.8,racing/peugeot_vx5_v2.mr
1912,Mason Special 58 @ 2300,4,98.425,127,3865.133,4.5,258.762,2.0375,47.625,8.7312,46.0375,8.7312,216,236,113,-11,racing/duesenberg_236_i4.mr
1913,Peugeot L3 3-Litre Four 1913 92 @ 2900 1.00 Atm,4,78,156,2981.6982,5.6,261,1.6731,40,9,40,9,217,248,111.8,0.2,racing/peugeot_l3_183_i4.mr
1913,Peugeot L56 / EX3 115 @ 2500,4,100,180,5654.8668,5.4,295,1.6389,52,9,52,9,212,253.5,111.9,2.9,racing/peugeot_l56_346_i4.mr
1914,Mercedes 18/100 4.5-Litre Four (M93654) 1914 106 @ 3100 1.00 Atm,4,93,165,4483.3198,5.4,330,2,47,8,47,8,215,239,109,1.5,racing/mercedes_18_100_274_i4.mr
1914,Sunbeam Coupe de l'Auto 93 @ 4000,4,81.5,117,2441.4675,5.06,280,2.3932,40,7.5,40,7.5,216,246,107,2,racing/sunbeam_149_i4.mr
1914,Sunbeam TT 100 @ 3000,4,81.5,156,3255.29,5.4,261,1.6731,40,7.5,40,7.5,216,246,107,2,racing/sunbeam_199_i4.mr
1920,Ballot GP 110 @ 3800,8,65,112,2973.2033,6.6,190,1.6964,34,7,30.9,7,224,261,113.25,4.25,racing/ballot_181_i8.mr
1921,Duesenberg 3-Litre Eight 1921 115 @ 4250 1.00 Atm,8,63.5,117.475,2976.2731,5.6,222.25,1.8919,38.1,11.176,28.575,9.652,223,228,105.2,-1.2,racing/duesenberg_182_i8.mr
1921,FIAT 401 155 @ 4400,8,65,112,2973.2033,6,250,2.2321,30,7,30,7,230,240,112.5,-2.5,racing/fiat_401_181_i8.mr
1921,Miller 183 125 @ 4000,8,68.2625,101.6,2974.6643,8,196.9,1.938,30.1625,11.9,30.1625,11.9,223,223,105,-1.5,racing/miller_182_i8.mr
1922,FIAT Tipo 404 112 @ 5000,6,65,100,1990.9843,7,225,2.25,40,9,40,9,252,245,111.8,-4.2,racing/fiat_404_121_i6.mr
1922,Vauxhall TT 129 @ 4500,4,85,132,2996.1369,5.8,279,2.1136,36.83,9,35.05,9,265,265,114,-6.5,racing/vauxhall_tt_183_i4.mr
1923,FIAT Tipo 405 130 @ 5500,8,60,87.5,1979.2034,7,165,1.8857,37,8,37,8,230,240,112.5,-2.5,racing/fiat_405_121_i8.mr
1923,Sunbeam 108 @ 5000,6,67,94,1988.4679,7.4,218.44,2.3238,44.5,10.16,39.5,10.16,252,245,111.75,-4.25,racing/sunbeam_121_i6.mr
1924,Alfa Romeo P2 143 @ 5500,6,61,85,1490.4579,6,178,2.0941,38,9,38,9,256,256,110,2,racing/alfa_p2_91_i6.mr
1924,Bentley 3-litre 87 @ 3500,4,80,149,2995.8228,6.5,295,1.9799,37,8.5,37,8.5,235,260,113.8,6.2,racing/bentley_183_i4.mr
1924,Bugatti T45 3.8L 1924 250 @ 4000,16,60,84,3800.0705,6,185,2.2024,25.5,8,35,9,225,250,103.75,1.25,racing/bugatti_t45_232_u16.mr
1924,Bugatti Type 35 2-Litre Eight 1924 100 @ 5000 1.00 Atm,8,60,88,1990.5131,6,185,2.1023,23.5,7.5,35,9,225,250,103.8,1.2,racing/bugatti_t35_121_i8.mr
1924,Miller Special 120 @ 5000,8,59.5313,88.9,1979.5768,7,177.8,2,30.1625,7.1437,30.1625,7.1437,220,232,109.5,-0.5,racing/miller_121_i8.mr
1925,1929 Bugatti T39 1.5L 85 HP @ 5000,8,52,88,1495.0965,6,185,2.1023,23.5,7.5,38,9,223,250,106.8,-1.8,racing/bugatti_t39_91_i8.mr
1925,Bugatti T37 49 @ 4200,4,69,100,1495.7123,6,200,2,26,7.5,37,8.5,225,250,103.8,1.2,racing/bugatti_t37_91_i4.mr
